"Internal ID","CpG","Association ID","Occurrences","Article ID","Has Direction","Direction","Has Baseline","M-Value Baseline","Beta Baseline"
1,cg01261464,1,1,1,TRUE,decrease,TRUE,,"4.28"
2,cg04023915,1,2,1,TRUE,decrease,TRUE,,"16.77"
3,cg07345919,1,1,1,TRUE,decrease,TRUE,,"8.46"
4,cg26498966,1,1,1,TRUE,increase,TRUE,,"96.02"
5,cg24115571,1,1,1,TRUE,increase,TRUE,,"9.61"
6,cg03000844,1,2,1,TRUE,decrease,TRUE,,"11.92"
7,cg20742366,1,1,1,TRUE,decrease,TRUE,,"13.9"
8,cg13181537,1,1,1,TRUE,increase,TRUE,,"9.63"
9,cg19438100,1,1,1,TRUE,decrease,TRUE,,"8.53"
10,cg18230796,1,1,1,TRUE,decrease,TRUE,,"7.33"
11,cg02731980,1,1,1,TRUE,decrease,TRUE,,"7.73"
12,cg17272795,1,1,1,TRUE,increase,TRUE,,"9.43"
13,cg01929530,1,1,1,TRUE,decrease,TRUE,,"9.58"
14,cg13103303,1,1,1,TRUE,decrease,TRUE,,"3.53"
15,cg14806867,1,1,1,TRUE,decrease,TRUE,,"18.36"
16,cg16948199,1,1,1,TRUE,decrease,TRUE,,"2.03"
17,cg03282993,1,1,1,TRUE,decrease,TRUE,,"18.02"
18,cg09355820,1,1,1,TRUE,increase,TRUE,,"86.42"
19,cg19276031,1,1,1,TRUE,increase,TRUE,,"5.59"
20,cg19292062,1,1,1,TRUE,decrease,TRUE,,"13.22"
21,cg14844679,1,1,1,TRUE,increase,TRUE,,"7.51"
22,cg22378817,1,1,1,TRUE,decrease,TRUE,,"12.02"
23,cg15386773,1,1,1,TRUE,decrease,TRUE,,"16.15"
24,cg06324094,1,1,1,TRUE,decrease,TRUE,,"14.77"
25,cg25463470,1,1,1,TRUE,increase,TRUE,,"3.2"
26,cg02279127,1,1,1,TRUE,decrease,TRUE,,"9.98"
27,cg16190688,1,1,1,TRUE,increase,TRUE,,"88.16"
28,cg04521027,1,2,1,TRUE,decrease,TRUE,,"89.12"
29,cg23505303,1,1,1,TRUE,increase,TRUE,,"8.88"
30,cg26683023,1,1,1,TRUE,increase,TRUE,,"86.46"
31,cg01418033,1,1,1,TRUE,decrease,TRUE,,"7.02"
32,cg26433777,1,1,1,TRUE,decrease,TRUE,,"11.78"
33,cg08184586,1,1,1,TRUE,decrease,TRUE,,"7.9"
34,cg14276772,1,1,1,TRUE,decrease,TRUE,,"6.67"
35,cg14909930,1,1,1,TRUE,decrease,TRUE,,"18.33"
36,cg03030650,1,1,1,TRUE,increase,TRUE,,"95.87"
37,cg05369274,1,1,1,TRUE,decrease,TRUE,,"8.58"
38,cg15432938,1,1,1,TRUE,increase,TRUE,,"5.42"
39,cg08707819,1,2,1,TRUE,decrease,TRUE,,"44.85"
40,cg21199023,1,1,1,TRUE,decrease,TRUE,,"4.6"
41,cg25720697,1,1,1,TRUE,increase,TRUE,,"7.03"
42,cg07844687,1,1,1,TRUE,decrease,TRUE,,"8.31"
43,cg14489366,1,1,1,TRUE,decrease,TRUE,,"14.51"
44,cg12473340,1,2,1,TRUE,decrease,TRUE,,"93.67"
45,cg11553066,1,1,1,TRUE,decrease,TRUE,,"14.87"
